timestamp,timestamp_sample,device_id,pressure,temperature,error_count
3050952881,3050952872,3997730,101478.0,33.89,0
3051957728,3051957719,3997730,101479.0,33.899998,0
3052952257,3052952248,3997730,101474.0,33.899998,0
3053957022,3053957012,3997730,101479.0,33.91,0
3054941423,3054941413,3997730,101477.0,33.92,0
3055945865,3055945856,3997730,101479.0,33.92,0
3056950385,3056950376,3997730,101476.0,33.92,0
3057954620,3057954611,3997730,101475.0,33.93,0
3058959032,3058959023,3997730,101471.0,33.94,0
3059953874,3059953865,3997730,101479.0,33.95,0
3060958465,3060958456,3997730,101475.0,33.96,0
3061953016,3061953007,3997730,101476.0,33.96,0
3062957532,3062957522,3997730,101480.0,33.969997,0
3063941929,3063941920,3997730,101476.0,33.98,0
3064946753,3064946744,3997730,101481.0,33.989998,0
3065951489,3065951481,3997730,101475.0,33.989998,0
3066955959,3066955950,3997730,101474.0,34.0,0
3067950400,3067950390,3997730,101478.0,34.0,0
3068955160,3068955152,3997730,101476.0,34.01,0
3069959601,3069959592,3997730,101477.0,34.02,0
3070953916,3070953907,3997730,101476.0,34.02,0
3071958457,3071958448,3997730,101480.0,34.03,0
3072942917,3072942908,3997730,101478.0,34.03,0
3073947566,3073947557,3997730,101481.0,34.04,0
3074951912,3074951901,3997730,101481.0,34.05,0
3075956491,3075956461,3997730,101480.0,34.059998,0
3076951196,3076951187,3997730,101478.0,34.059998,0
3077955610,3077955600,3997730,101481.0,34.07,0
3078960012,3078960004,3997730,101482.0,34.07,0
3079954617,3079954608,3997730,101481.0,34.079998,0
3080938912,3080938903,3997730,101485.0,34.09,0
3081943651,3081943642,3997730,101482.0,34.09,0
3082948017,3082948004,3997730,101479.0,34.1,0
3083952461,3083952452,3997730,101483.0,34.11,0
3084957264,3084957255,3997730,101482.0,34.11,0
3085951625,3085951616,3997730,101482.0,34.12,0
3086955991,3086955982,3997730,101484.0,34.13,0
3087950557,3087950548,3997730,101485.0,34.14,0
3088955055,3088955046,3997730,101483.0,34.14,0
3089959763,3089959754,3997730,101479.0,34.149998,0
3090944196,3090944186,3997730,101481.0,34.16,0
3091948609,3091948600,3997730,101487.0,34.16,0
3092953197,3092953188,3997730,101484.0,34.17,0
3093957676,3093957668,3997730,101481.0,34.17,0
3094952435,3094952426,3997730,101487.0,34.18,0
3095956820,3095956811,3997730,101486.0,34.18,0
3096951254,3096951245,3997730,101487.0,34.19,0
3097956054,3097956045,3997730,101489.0,34.2,0
3098940432,3098940423,3997730,101479.0,34.21,0
3099945107,3099945098,3997730,101485.0,34.21,0
3100949499,3100949490,3997730,101481.0,34.21,0
3101953987,3101953977,3997730,101485.0,34.219997,0
3102958963,3102958954,3997730,101488.0,34.23,0
3103953508,3103953499,3997730,101486.0,34.239998,0
3104957939,3104957930,3997730,101482.0,34.239998,0
3105952520,3105952510,3997730,101484.0,34.239998,0
3106957356,3106957346,3997730,101479.0,34.25,0
3107941866,3107941856,3997730,101480.0,34.26,0
3108946186,3108946153,3997730,101484.0,34.26,0
3109950899,3109950860,3997730,101485.0,34.27,0
3110955566,3110955557,3997730,101483.0,34.27,0
3111960260,3111960250,3997730,101480.0,34.28,0
3112954638,3112954629,3997730,101486.0,34.28,0
3113959068,3113959058,3997730,101483.0,34.29,0
3114953759,3114953750,3997730,101481.0,34.29,0
3115958299,3115958290,3997730,101479.0,34.29,0
3116942782,3116942773,3997730,101486.0,34.3,0
3117947581,3117947570,3997730,101486.0,34.309998,0
3118952128,3118952119,3997730,101483.0,34.309998,0
3119956461,3119956453,3997730,101484.0,34.309998,0
3120950722,3120950713,3997730,101483.0,34.32,0
3121955160,3121955151,3997730,101482.0,34.329998,0
3122950008,3122949997,3997730,101489.0,34.329998,0
3123954407,3123954377,3997730,101487.0,34.34,0
3124958976,3124958967,3997730,101486.0,34.34,0
3125943222,3125943210,3997730,101482.0,34.35,0
3126947745,3126947736,3997730,101486.0,34.35,0
3127952065,3127952057,3997730,101477.0,34.36,0
3128956727,3128956718,3997730,101481.0,34.37,0
3129951159,3129951151,3997730,101479.0,34.37,0
3130955914,3130955905,3997730,101483.0,34.37,0
3131960416,3131960407,3997730,101484.0,34.38,0
3132955060,3132955051,3997730,101477.0,34.38,0
3133939437,3133939427,3997730,101483.0,34.39,0
3134943762,3134943753,3997730,101484.0,34.399998,0
3135948128,3135948119,3997730,101481.0,34.399998,0
3136952826,3136952817,3997730,101478.0,34.41,0
3137957522,3137957514,3997730,101479.0,34.41,0
3138952128,3138952119,3997730,101480.0,34.41,0
3139956550,3139956541,3997730,101485.0,34.42,0
3140950797,3140950734,3997730,101486.0,34.42,0
3141954994,3141954983,3997730,101486.0,34.43,0
3142959692,3142959682,3997730,101479.0,34.43,0
3143944262,3143944254,3997730,101485.0,34.44,0
3144948792,3144948774,3997730,101482.0,34.45,0
3145953260,3145953251,3997730,101481.0,34.44,0
3146957955,3146957946,3997730,101481.0,34.45,0
3147952322,3147952313,3997730,101483.0,34.46,0
3148956603,3148956593,3997730,101485.0,34.46,0
3149961067,3149961058,3997730,101486.0,34.46,0
3150955669,3150955659,3997730,101480.0,34.469997,0
3151940073,3151940063,3997730,101480.0,34.469997,0
3152944774,3152944598,3997730,101486.0,34.48,0
3153949255,3153949246,3997730,101486.0,34.48,0
3154953706,3154953697,3997730,101482.0,34.489998,0
3155958266,3155958257,3997730,101485.0,34.489998,0
3156952769,3156952760,3997730,101485.0,34.5,0
3157957390,3157957381,3997730,101480.0,34.5,0
3158951917,3158951908,3997730,101481.0,34.5,0
3159956316,3159956307,3997730,101482.0,34.51,0
3160960821,3160960811,3997730,101483.0,34.51,0
3161945384,3161945375,3997730,101481.0,34.53,0
3162949905,3162949896,3997730,101481.0,34.52,0
3163954516,3163954507,3997730,101482.0,34.53,0
3164948749,3164948740,3997730,101482.0,34.54,0
3165953250,3165953242,3997730,101484.0,34.54,0
3166957980,3166957971,3997730,101480.0,34.54,0
3167952587,3167952578,3997730,101488.0,34.55,0
3168956985,3168956977,3997730,101486.0,34.55,0
3169961531,3169961522,3997730,101486.0,34.559998,0
3170946271,3170946261,3997730,101481.0,34.559998,0
3171951156,3171951119,3997730,101483.0,34.57,0
3172955584,3172955552,3997730,101480.0,34.57,0
3173960220,3173960210,3997730,101487.0,34.579998,0
3174954594,3174954584,3997730,101488.0,34.579998,0
3175959160,3175959152,3997730,101483.0,34.59,0
3176953575,3176953566,3997730,101485.0,34.59,0
3177958073,3177958064,3997730,101483.0,34.59,0
3178942326,3178942317,3997730,101483.0,34.6,0
3179946977,3179946968,3997730,101492.0,34.6,0
3180951480,3180951471,3997730,101482.0,34.61,0
3181955950,3181955940,3997730,101488.0,34.62,0
3182950465,3182950455,3997730,101485.0,34.62,0
3183955263,3183955254,3997730,101481.0,34.62,0
3184959924,3184959916,3997730,101484.0,34.63,0
3185954313,3185954304,3997730,101483.0,34.63,0
3186958691,3186958682,3997730,101492.0,34.63,0
3187943281,3187943271,3997730,101485.0,34.64,0
3188947827,3188947817,3997730,101487.0,34.64,0
3189952455,3189952446,3997730,101483.0,34.649998,0
3190956959,3190956950,3997730,101487.0,34.649998,0
3191951456,3191951447,3997730,101486.0,34.66,0
3192956128,3192956119,3997730,101491.0,34.66,0
3193950548,3193950539,3997730,101486.0,34.66,0
3194954996,3194954987,3997730,101489.0,34.67,0
3195959777,3195959768,3997730,101484.0,34.68,0
3196944196,3196944187,3997730,101490.0,34.68,0
3197948670,3197948660,3997730,101490.0,34.69,0
3198953392,3198953381,3997730,101488.0,34.69,0
3199958274,3199958264,3997730,101490.0,34.69,0
3200952502,3200952492,3997730,101490.0,34.7,0
3201956830,3201956821,3997730,101488.0,34.7,0
3202961344,3202961335,3997730,101488.0,34.7,0
3203955942,3203955933,3997730,101485.0,34.71,0
3204940288,3204940279,3997730,101486.0,34.71,0
3205944578,3205944569,3997730,101487.0,34.719997,0
3206949257,3206949248,3997730,101489.0,34.719997,0
3207953688,3207953679,3997730,101485.0,34.73,0
3208958005,3208957995,3997730,101485.0,34.73,0
3209952661,3209952651,3997730,101486.0,34.739998,0
3210957294,3210957284,3997730,101488.0,34.75,0
3211951705,3211951696,3997730,101488.0,34.75,0
3212956520,3212956511,3997730,101484.0,34.75,0
3213940956,3213940948,3997730,101485.0,34.76,0
3214945575,3214945565,3997730,101484.0,34.76,0
3215949991,3215949982,3997730,101484.0,34.77,0
3216954390,3216954381,3997730,101481.0,34.77,0
3217949129,3217949119,3997730,101483.0,34.77,0
3218953796,3218953788,3997730,101492.0,34.78,0
3219958300,3219958289,3997730,101486.0,34.78,0
3220952624,3220952615,3997730,101487.0,34.79,0
3221957036,3221957027,3997730,101485.0,34.79,0
3222961704,3222961694,3997730,101484.0,34.8,0
3223946129,3223946120,3997730,101483.0,34.8,0
3224950617,3224950607,3997730,101484.0,34.809998,0
3225955509,3225955499,3997730,101479.0,34.809998,0
3226959964,3226959955,3997730,101482.0,34.82,0
3227954142,3227954134,3997730,101475.0,34.82,0
3228958861,3228958852,3997730,101476.0,34.829998,0
3229953359,3229953349,3997730,101480.0,34.829998,0
3230957787,3230957779,3997730,101480.0,34.84,0
3231942357,3231942348,3997730,101480.0,34.84,0
3232946856,3232946846,3997730,101476.0,34.84,0
3233951555,3233951546,3997730,101485.0,34.84,0
3234956192,3234956184,3997730,101482.0,34.85,0
3235950865,3235950856,3997730,101481.0,34.85,0
3236955448,3236955439,3997730,101484.0,34.85,0
3237959899,3237959890,3997730,101484.0,34.85,0
3238954380,3238954371,3997730,101478.0,34.86,0
3239958845,3239958836,3997730,101475.0,34.86,0
3240943338,3240943276,3997730,101471.0,34.86,0
3241947974,3241947965,3997730,101474.0,34.86,0
3242952506,3242952497,3997730,101474.0,34.86,0
3243956891,3243956883,3997730,101473.0,34.87,0
3244961332,3244961321,3997730,101472.0,34.87,0
3245955622,3245955613,3997730,101473.0,34.87,0
3246960092,3246960083,3997730,101475.0,34.87,0
3247954774,3247954614,3997730,101474.0,34.88,0
3248939194,3248939186,3997730,101475.0,34.88,0
3249943546,3249943537,3997730,101474.0,34.87,0
3250947920,3250947912,3997730,101472.0,34.87,0
3251952564,3251952555,3997730,101473.0,34.88,0
3252956943,3252956935,3997730,101472.0,34.88,0
3253951584,3253951574,3997730,101477.0,34.88,0
3254955924,3254955915,3997730,101479.0,34.87,0
3255950287,3255950277,3997730,101473.0,34.87,0
3256955153,3256955144,3997730,101480.0,34.88,0
3257959719,3257959710,3997730,101475.0,34.88,0
3258943944,3258943935,3997730,101480.0,34.88,0
3259948552,3259948543,3997730,101474.0,34.88,0
3260952893,3260952883,3997730,101475.0,34.88,0
3261957566,3261957557,3997730,101475.0,34.88,0
3262952246,3262952238,3997730,101473.0,34.88,0
3263956512,3263956503,3997730,101479.0,34.88,0
3264950797,3264950788,3997730,101477.0,34.88,0
3265955536,3265955528,3997730,101479.0,34.87,0
3266960074,3266960064,3997730,101474.0,34.88,0
3267944460,3267944451,3997730,101480.0,34.87,0
3268949232,3268949223,3997730,101488.0,34.87,0
3269953705,3269953695,3997730,101475.0,34.86,0
3270958347,3270958337,3997730,101468.0,34.86,0
3271952732,3271952721,3997730,101475.0,34.86,0
3272957580,3272957571,3997730,101482.0,34.85,0
3273951908,3273951899,3997730,101484.0,34.84,0
3274956496,3274956488,3997730,101489.0,34.84,0
3275961319,3275961273,3997730,101480.0,34.84,0
3276945707,3276945698,3997730,101477.0,34.829998,0
3277950208,3277950200,3997730,101477.0,34.82,0
3278954795,3278954787,3997730,101476.0,34.82,0
3279949367,3279949358,3997730,101482.0,34.809998,0
3280954000,3280953990,3997730,101476.0,34.8,0
3281958501,3281958492,3997730,101473.0,34.8,0
3282952901,3282952893,3997730,101469.0,34.79,0
3283957436,3283957426,3997730,101471.0,34.78,0
3284942000,3284941991,3997730,101473.0,34.78,0
3285946754,3285946715,3997730,101473.0,34.77,0
3286951238,3286951229,3997730,101488.0,34.77,0
3287955655,3287955647,3997730,101489.0,34.76,0
3288960564,3288960555,3997730,101484.0,34.76,0
3289954943,3289954934,3997730,101479.0,34.75,0
3290949484,3290949474,3997730,101482.0,34.739998,0
3291953927,3291953919,3997730,101479.0,34.73,0
3292958566,3292958557,3997730,101478.0,34.719997,0
3293943161,3293943152,3997730,101480.0,34.719997,0
3294947475,3294947466,3997730,101480.0,34.71,0
3295951922,3295951914,3997730,101479.0,34.7,0
3296956647,3296956638,3997730,101478.0,34.69,0
3297950927,3297950916,3997730,101477.0,34.69,0
3298955643,3298955605,3997730,101481.0,34.68,0
3299960309,3299960299,3997730,101475.0,34.67,0
3300954601,3300954592,3997730,101482.0,34.67,0
3301939215,3301939206,3997730,101479.0,34.66,0
3302943450,3302943441,3997730,101482.0,34.649998,0
3303947787,3303947778,3997730,101481.0,34.64,0
3304952248,3304952239,3997730,101486.0,34.63,0
3305957218,3305957207,3997730,101487.0,34.63,0
3306951834,3306951641,3997730,101483.0,34.62,0
3307956472,3307956461,3997730,101479.0,34.62,0
3308950873,3308950864,3997730,101473.0,34.61,0
3309955598,3309955560,3997730,101479.0,34.59,0
3310960039,3310960030,3997730,101478.0,34.59,0
3311944197,3311944188,3997730,101477.0,34.579998,0
3312949127,3312949118,3997730,101476.0,34.57,0
3313953629,3313953621,3997730,101474.0,34.57,0
3314958254,3314958245,3997730,101480.0,34.559998,0
3315952603,3315952593,3997730,101480.0,34.55,0
3316956973,3316956965,3997730,101475.0,34.54,0
3317961934,3317961925,3997730,101483.0,34.53,0
3318956879,3318956871,3997730,101486.0,34.52,0
3319941164,3319941155,3997730,101481.0,34.52,0
3320945514,3320945505,3997730,101473.0,34.51,0
3321950359,3321950350,3997730,101477.0,34.5,0
3322954788,3322954778,3997730,101476.0,34.489998,0
3323959407,3323959398,3997730,101473.0,34.48,0
3324953661,3324953652,3997730,101479.0,34.469997,0
3325958256,3325958247,3997730,101484.0,34.469997,0
3326953039,3326953028,3997730,101476.0,34.45,0
3327957385,3327957375,3997730,101479.0,34.44,0
3328961822,3328961813,3997730,101475.0,34.43,0
3329946097,3329946087,3997730,101478.0,34.43,0
3330950491,3330950481,3997730,101477.0,34.41,0
3331954942,3331954933,3997730,101476.0,34.41,0
3332949568,3332949559,3997730,101477.0,34.399998,0
3333954010,3333954001,3997730,101478.0,34.39,0
3334958527,3334958519,3997730,101480.0,34.38,0
3335953238,3335953229,3997730,101478.0,34.37,0
3336957813,3336957805,3997730,101473.0,34.36,0
3337942304,3337942295,3997730,101479.0,34.35,0
3338946565,3338946556,3997730,101474.0,34.34,0
3339951134,3339951126,3997730,101471.0,34.329998,0
3340955818,3340955809,3997730,101480.0,34.32,0
3341960358,3341960348,3997730,101486.0,34.3,0
3342954903,3342954893,3997730,101480.0,34.29,0
3343949459,3343949450,3997730,101479.0,34.28,0
3344954163,3344954154,3997730,101475.0,34.26,0
3345958696,3345958687,3997730,101477.0,34.25,0
3346942984,3346942975,3997730,101481.0,34.239998,0
3347947399,3347947390,3997730,101485.0,34.23,0
3348952205,3348952195,3997730,101486.0,34.219997,0
3349957047,3349957038,3997730,101484.0,34.2,0
3350951393,3350951384,3997730,101481.0,34.19,0
3351955816,3351955808,3997730,101472.0,34.17,0
3352950589,3352950579,3997730,101476.0,34.16,0
3353954849,3353954840,3997730,101472.0,34.149998,0
3354959647,3354959638,3997730,101478.0,34.14,0
3355943941,3355943932,3997730,101476.0,34.13,0
3356948681,3356948671,3997730,101475.0,34.11,0
3357953305,3357953295,3997730,101480.0,34.1,0
3358957728,3358957720,3997730,101477.0,34.09,0
3359962321,3359962311,3997730,101475.0,34.079998,0
3360956509,3360956500,3997730,101475.0,34.07,0
3361950931,3361950923,3997730,101479.0,34.05,0
3362955679,3362955668,3997730,101473.0,34.04,0
3363960027,3363960018,3997730,101473.0,34.03,0
3364944244,3364944236,3997730,101474.0,34.02,0
3365949044,3365949035,3997730,101484.0,34.01,0
3366953656,3366953647,3997730,101488.0,33.989998,0
3367958528,3367958519,3997730,101481.0,33.98,0
3368952849,3368952840,3997730,101481.0,33.969997,0
3369957460,3369957451,3997730,101476.0,33.95,0
3370951960,3370951951,3997730,101480.0,33.94,0
3371956499,3371956490,3997730,101484.0,33.93,0
3372940827,3372940818,3997730,101488.0,33.92,0
3373945193,3373945184,3997730,101495.0,33.91,0
3374950013,3374950004,3997730,101495.0,33.899998,0
3375954367,3375954356,3997730,101490.0,33.88,0
3376958724,3376958715,3997730,101488.0,33.87,0
3377952982,3377952973,3997730,101493.0,33.86,0
3378957518,3378957508,3997730,101488.0,33.84,0
3379951990,3379951981,3997730,101490.0,33.829998,0
3380956566,3380956557,3997730,101492.0,33.829998,0
3381941010,3381940997,3997730,101493.0,33.82,0
3382945881,3382945873,3997730,101490.0,33.8,0
3383950519,3383950511,3997730,101490.0,33.79,0
3384955028,3384955020,3997730,101491.0,33.78,0
3385949480,3385949470,3997730,101495.0,33.77,0
3386954266,3386954257,3997730,101491.0,33.76,0
3387958715,3387958706,3997730,101492.0,33.75,0
3388953006,3388952997,3997730,101496.0,33.739998,0
3389957731,3389957722,3997730,101496.0,33.73,0
3390942437,3390942428,3997730,101491.0,33.719997,0
3391947192,3391947183,3997730,101493.0,33.719997,0
3392951533,3392951524,3997730,101492.0,33.71,0
3393956256,3393956247,3997730,101492.0,33.7,0
3394960605,3394960596,3997730,101491.0,33.69,0
3395954926,3395954917,3997730,101491.0,33.69,0
3396959491,3396959482,3997730,101491.0,33.68,0
3397954006,3397953996,3997730,101495.0,33.67,0
3398958711,3398958624,3997730,101491.0,33.67,0
3399943254,3399943245,3997730,101490.0,33.66,0
3400947866,3400947855,3997730,101493.0,33.649998,0
3401952254,3401952244,3997730,101488.0,33.649998,0
3402957128,3402957119,3997730,101489.0,33.64,0
3403951612,3403951603,3997730,101492.0,33.64,0
3404956250,3404956241,3997730,101492.0,33.63,0
3405960740,3405960731,3997730,101488.0,33.63,0
3406955557,3406955548,3997730,101495.0,33.63,0
3407960054,3407960045,3997730,101485.0,33.62,0
3408944483,3408944475,3997730,101479.0,33.62,0
3409949284,3409949275,3997730,101478.0,33.61,0
3410953708,3410953699,3997730,101479.0,33.61,0
3411958397,3411958389,3997730,101482.0,33.6,0
3412952686,3412952677,3997730,101480.0,33.6,0
3413957004,3413956995,3997730,101477.0,33.59,0
3414951730,3414951721,3997730,101481.0,33.579998,0
3415956537,3415956528,3997730,101479.0,33.57,0
3416940820,3416940811,3997730,101477.0,33.559998,0
3417945194,3417945185,3997730,101479.0,33.55,0
3418949995,3418949987,3997730,101482.0,33.55,0
3419954584,3419954575,3997730,101481.0,33.53,0
3420949255,3420949246,3997730,101484.0,33.53,0
3421953507,3421953498,3997730,101479.0,33.52,0
3422957994,3422957966,3997730,101485.0,33.52,0
3423952650,3423952641,3997730,101483.0,33.5,0
3424957028,3424957018,3997730,101479.0,33.5,0
3425941604,3425941595,3997730,101478.0,33.5,0
3426946129,3426946119,3997730,101478.0,33.489998,0
3427950616,3427950607,3997730,101479.0,33.489998,0
3428955417,3428955379,3997730,101479.0,33.48,0
3429959873,3429959865,3997730,101477.0,33.48,0
3430954410,3430954400,3997730,101479.0,33.469997,0
3431959044,3431959036,3997730,101482.0,33.469997,0
3432953616,3432953573,3997730,101488.0,33.46,0
3433958007,3433957997,3997730,101482.0,33.46,0
3434942673,3434942665,3997730,101483.0,33.46,0
3435947318,3435947310,3997730,101478.0,33.45,0
3436951907,3436951716,3997730,101475.0,33.45,0
3437956351,3437956341,3997730,101478.0,33.44,0
3438950877,3438950868,3997730,101478.0,33.44,0
3439955423,3439955414,3997730,101478.0,33.44,0
3440959914,3440959903,3997730,101480.0,33.44,0
