timestamp,speed_up,speed_down,want_takeoff
3051074995,3.0,1.5,0
3052074192,3.0,1.5,0
3053073080,3.0,1.5,0
3054081883,3.0,1.5,0
3055081071,3.0,1.5,0
3056079896,3.0,1.5,0
3057079078,3.0,1.5,0
3058078153,3.0,1.5,0
3059077048,3.0,1.5,0
3060076090,3.0,1.5,0
3061075310,3.0,1.5,0
3062074326,3.0,1.5,0
3063073148,3.0,1.5,0
3064062249,3.0,1.5,0
3065081310,3.0,1.5,0
3066080538,3.0,1.5,0
3067079391,3.0,1.5,0
3068078429,3.0,1.5,0
3069077571,3.0,1.5,0
3070076540,3.0,1.5,0
3071075685,3.0,1.5,0
3072074627,3.0,1.5,0
3073073711,3.0,1.5,0
3074062580,3.0,1.5,0
3075081879,3.0,1.5,0
3076080788,3.0,1.5,0
3077079825,3.0,1.5,0
3078078890,3.0,1.5,0
3079078076,3.0,1.5,0
3080076956,3.0,1.5,0
3081076027,3.0,1.5,0
3082075005,3.0,1.5,0
3083074576,3.0,1.5,0
3084073241,3.0,1.5,0
3085062093,3.0,1.5,0
3086081199,3.0,1.5,0
3087080142,3.0,1.5,0
3088079229,3.0,1.5,0
3089078262,3.0,1.5,0
3090077285,3.0,1.5,0
3091076473,3.0,1.5,0
3092075420,3.0,1.5,0
3093074512,3.0,1.5,0
3094073540,3.0,1.5,0
3095062636,3.0,1.5,0
3096081835,3.0,1.5,0
3097080611,3.0,1.5,0
3098079775,3.0,1.5,0
3099078673,3.0,1.5,0
3100077691,3.0,1.5,0
3101076937,3.0,1.5,0
3102075957,3.0,1.5,0
3103074963,3.0,1.5,0
3104073907,3.0,1.5,0
3105073075,3.0,1.5,0
3106062096,3.0,1.5,0
3107081101,3.0,1.5,0
3108080290,3.0,1.5,0
3109079316,3.0,1.5,0
3110078245,3.0,1.5,0
3111077457,3.0,1.5,0
3112076326,3.0,1.5,0
3113075685,3.0,1.5,0
3114074395,3.0,1.5,0
3115073451,3.0,1.5,0
3116062580,3.0,1.5,0
3117081498,3.0,1.5,0
3118080731,3.0,1.5,0
3119079823,3.0,1.5,0
3120078631,3.0,1.5,0
3121077889,3.0,1.5,0
3122076854,3.0,1.5,0
3123075842,3.0,1.5,0
3124074899,3.0,1.5,0
3125074075,3.0,1.5,0
3126073289,3.0,1.5,0
3127061990,3.0,1.5,0
3128081304,3.0,1.5,0
3129080242,3.0,1.5,0
3130079179,3.0,1.5,0
3131078244,3.0,1.5,0
3132077314,3.0,1.5,0
3133076441,3.0,1.5,0
3134075544,3.0,1.5,0
3135074592,3.0,1.5,0
3136073576,3.0,1.5,0
3137062649,3.0,1.5,0
3138081691,3.0,1.5,0
3139080800,3.0,1.5,0
3140079717,3.0,1.5,0
3141078991,3.0,1.5,0
3142077847,3.0,1.5,0
3143077070,3.0,1.5,0
3144075984,3.0,1.5,0
3145075086,3.0,1.5,0
3146074146,3.0,1.5,0
3147073031,3.0,1.5,0
3148062217,3.0,1.5,0
3149081212,3.0,1.5,0
3150080161,3.0,1.5,0
3151079625,3.0,1.5,0
3152078474,3.0,1.5,0
3153077335,3.0,1.5,0
3154076508,3.0,1.5,0
3155075598,3.0,1.5,0
3156074687,3.0,1.5,0
3157073643,3.0,1.5,0
3158062783,3.0,1.5,0
3159081731,3.0,1.5,0
3160080838,3.0,1.5,0
3161079860,3.0,1.5,0
3162078996,3.0,1.5,0
3163077998,3.0,1.5,0
3164077174,3.0,1.5,0
3165076120,3.0,1.5,0
3166075324,3.0,1.5,0
3167074159,3.0,1.5,0
3168073367,3.0,1.5,0
3169062520,3.0,1.5,0
3170081334,3.0,1.5,0
3171080435,3.0,1.5,0
3172079639,3.0,1.5,0
3173078602,3.0,1.5,0
3174077838,3.0,1.5,0
3175076910,3.0,1.5,0
3176075698,3.0,1.5,0
3177074787,3.0,1.5,0
3178073965,3.0,1.5,0
3179053070,3.0,1.5,0
3180081917,3.0,1.5,0
3181081160,3.0,1.5,0
3182080230,3.0,1.5,0
3183079110,3.0,1.5,0
3184078555,3.0,1.5,0
3185077365,3.0,1.5,0
3186076672,3.0,1.5,0
3187075382,3.0,1.5,0
3188074517,3.0,1.5,0
3189073533,3.0,1.5,0
3190062792,3.0,1.5,0
3191081679,3.0,1.5,0
3192080754,3.0,1.5,0
3193079702,3.0,1.5,0
3194078876,3.0,1.5,0
3195078037,3.0,1.5,0
3196077030,3.0,1.5,0
3197076122,3.0,1.5,0
3198075132,3.0,1.5,0
3199074243,3.0,1.5,0
3200073241,3.0,1.5,0
3201062317,3.0,1.5,0
3202081410,3.0,1.5,0
3203080349,3.0,1.5,0
3204079741,3.0,1.5,0
3205078563,3.0,1.5,0
3206077640,3.0,1.5,0
3207076822,3.0,1.5,0
3208075883,3.0,1.5,0
3209075092,3.0,1.5,0
3210073877,3.0,1.5,0
3211072989,3.0,1.5,0
3212082133,3.0,1.5,0
3213081022,3.0,1.5,0
3214080198,3.0,1.5,0
3215079313,3.0,1.5,0
3216078427,3.0,1.5,0
3217077420,3.0,1.5,0
3218076610,3.0,1.5,0
3219075568,3.0,1.5,0
3220074476,3.0,1.5,0
3221073994,3.0,1.5,0
3222062728,3.0,1.5,0
3223081717,3.0,1.5,0
3224081000,3.0,1.5,0
3225079887,3.0,1.5,0
3226078952,3.0,1.5,0
3227077996,3.0,1.5,0
3228077206,3.0,1.5,0
3229076260,3.0,1.5,0
3230075403,3.0,1.5,0
3231074338,3.0,1.5,0
3232073521,3.0,1.5,0
3233082413,3.0,1.5,0
3234081598,3.0,1.5,0
3235080669,3.0,1.5,0
3236079623,3.0,1.5,0
3237078685,3.0,1.5,0
3238077841,3.0,1.5,0
3239076946,3.0,1.5,0
3240076065,3.0,1.5,0
3241075241,3.0,1.5,0
3242074112,3.0,1.5,0
3243073089,3.0,1.5,0
3244082418,3.0,1.5,0
3245081409,3.0,1.5,0
3246080530,3.0,1.5,0
3247079366,3.0,1.5,0
3248078520,3.0,1.5,0
3249077509,3.0,1.5,0
3250076913,3.0,1.5,0
3251075828,3.0,1.5,0
3252074811,3.0,1.5,0
3253073779,3.0,1.5,0
3254053152,3.0,1.5,0
3255082197,3.0,1.5,0
3256061062,3.0,1.5,0
3257080047,3.0,1.5,0
3258079310,3.0,1.5,0
3259078182,3.0,1.5,0
3260077353,3.0,1.5,0
3261076596,3.0,1.5,0
3262075710,3.0,1.5,0
3263074625,3.0,1.5,0
3264073654,3.0,1.5,0
3265082843,3.0,1.5,0
3266081651,3.0,1.5,0
3267080804,3.0,1.5,0
3268079871,3.0,1.5,0
3269078968,3.0,1.5,0
3270078045,3.0,1.5,0
3271077103,3.0,1.5,0
3272076253,3.0,1.5,0
3273075345,3.0,1.5,0
3274074317,3.0,1.5,0
3275073438,3.0,1.5,0
3276082790,3.0,1.5,0
3277061424,3.0,1.5,0
3278080608,3.0,1.5,0
3279079559,3.0,1.5,0
3280078639,3.0,1.5,0
3281077707,3.0,1.5,0
3282076811,3.0,1.5,0
3283075952,3.0,1.5,0
3284075104,3.0,1.5,0
3285074018,3.0,1.5,0
3286072980,3.0,1.5,0
3287082163,3.0,1.5,0
3288081268,3.0,1.5,0
3289080102,3.0,1.5,0
3290079187,3.0,1.5,0
3291078333,3.0,1.5,0
3292077405,3.0,1.5,0
3293076641,3.0,1.5,0
3294075771,3.0,1.5,0
3295074704,3.0,1.5,0
3296073615,3.0,1.5,0
3297082644,3.0,1.5,0
3298061872,3.0,1.5,0
3299080738,3.0,1.5,0
3300079807,3.0,1.5,0
3301078972,3.0,1.5,0
3302078093,3.0,1.5,0
3303076992,3.0,1.5,0
3304076105,3.0,1.5,0
3305075303,3.0,1.5,0
3306074324,3.0,1.5,0
3307073196,3.0,1.5,0
3308082364,3.0,1.5,0
3309081293,3.0,1.5,0
3310080301,3.0,1.5,0
3311079418,3.0,1.5,0
3312078476,3.0,1.5,0
3313077468,3.0,1.5,0
3314076614,3.0,1.5,0
3315075617,3.0,1.5,0
3316074847,3.0,1.5,0
3317073638,3.0,1.5,0
3318082845,3.0,1.5,0
3319061906,3.0,1.5,0
3320080811,3.0,1.5,0
3321079950,3.0,1.5,0
3322078932,3.0,1.5,0
3323078083,3.0,1.5,0
3324077066,3.0,1.5,0
3325076156,3.0,1.5,0
3326075330,3.0,1.5,0
3327074224,3.0,1.5,0
3328073182,3.0,1.5,0
3329082255,3.0,1.5,0
3330081215,3.0,1.5,0
3331080372,3.0,1.5,0
3332079464,3.0,1.5,0
3333078399,3.0,1.5,0
3334077428,3.0,1.5,0
3335076519,3.0,1.5,0
3336075449,3.0,1.5,0
3337074583,3.0,1.5,0
3338073703,3.0,1.5,0
3339082632,3.0,1.5,0
3340061578,3.0,1.5,0
3341080798,3.0,1.5,0
3342079679,3.0,1.5,0
3343078605,3.0,1.5,0
3344077723,3.0,1.5,0
3345076751,3.0,1.5,0
3346075705,3.0,1.5,0
3347074770,3.0,1.5,0
3348073911,3.0,1.5,0
3349073072,3.0,1.5,0
3350081881,3.0,1.5,0
3351080971,3.0,1.5,0
3352079926,3.0,1.5,0
3353079018,3.0,1.5,0
3354078100,3.0,1.5,0
3355077027,3.0,1.5,0
3356076010,3.0,1.5,0
3357074979,3.0,1.5,0
3358074128,3.0,1.5,0
3359073281,3.0,1.5,0
3360082050,3.0,1.5,0
3361061159,3.0,1.5,0
3362080231,3.0,1.5,0
3363079147,3.0,1.5,0
3364078348,3.0,1.5,0
3365077223,3.0,1.5,0
3366076188,3.0,1.5,0
3367075263,3.0,1.5,0
3368074270,3.0,1.5,0
3369073525,3.0,1.5,0
3370082237,3.0,1.5,0
3371081295,3.0,1.5,0
3372080472,3.0,1.5,0
3373079374,3.0,1.5,0
3374078616,3.0,1.5,0
3375077463,3.0,1.5,0
3376076398,3.0,1.5,0
3377075366,3.0,1.5,0
3378074564,3.0,1.5,0
3379073397,3.0,1.5,0
3380082376,3.0,1.5,0
3381081523,3.0,1.5,0
3382080414,3.0,1.5,0
3383079588,3.0,1.5,0
3384078624,3.0,1.5,0
3385077495,3.0,1.5,0
3386076532,3.0,1.5,0
3387075584,3.0,1.5,0
3388074492,3.0,1.5,0
3389073514,3.0,1.5,0
3390062677,3.0,1.5,0
3391081534,3.0,1.5,0
3392080514,3.0,1.5,0
3393079567,3.0,1.5,0
3394078721,3.0,1.5,0
3395077750,3.0,1.5,0
3396076597,3.0,1.5,0
3397075639,3.0,1.5,0
3398074573,3.0,1.5,0
3399073611,3.0,1.5,0
3400062656,3.0,1.5,0
3401081600,3.0,1.5,0
3402080706,3.0,1.5,0
3403079566,3.0,1.5,0
3404078733,3.0,1.5,0
3405077734,3.0,1.5,0
3406076557,3.0,1.5,0
3407075726,3.0,1.5,0
3408074654,3.0,1.5,0
3409073703,3.0,1.5,0
3410062770,3.0,1.5,0
3411081668,3.0,1.5,0
3412080785,3.0,1.5,0
3413079591,3.0,1.5,0
3414078861,3.0,1.5,0
3415077799,3.0,1.5,0
3416076712,3.0,1.5,0
3417075853,3.0,1.5,0
3418074791,3.0,1.5,0
3419073705,3.0,1.5,0
3420082643,3.0,1.5,0
3421061813,3.0,1.5,0
3422080730,3.0,1.5,0
3423079724,3.0,1.5,0
3424078803,3.0,1.5,0
3425077907,3.0,1.5,0
3426077012,3.0,1.5,0
3427075845,3.0,1.5,0
3428074740,3.0,1.5,0
3429073711,3.0,1.5,0
3430082946,3.0,1.5,0
3431061813,3.0,1.5,0
3432080826,3.0,1.5,0
3433079705,3.0,1.5,0
3434078814,3.0,1.5,0
3435077890,3.0,1.5,0
3436076839,3.0,1.5,0
3437075950,3.0,1.5,0
3438074841,3.0,1.5,0
3439073832,3.0,1.5,0
3440082912,3.0,1.5,0
3441081918,3.0,1.5,0
